"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Americas +","41","Yield","2007","Hg/Ha","10000.00000","A "
"Asia +","41","Yield","2007","Hg/Ha","39090.00000","A "
"Bulgaria","41","Yield","2007","Hg/Ha","0.00000","NR"
"Chile","41","Yield","2007","Hg/Ha","10000.00000","Fc"
"China","41","Yield","2007","Hg/Ha","39090.00000",""
"China, mainland","41","Yield","2007","Hg/Ha","39090.00000","Fc"
"Cyprus","41","Yield","2007","Hg/Ha","0.00000","Fc"
"Eastern Asia +","41","Yield","2007","Hg/Ha","39090.00000","A "
"Eastern Europe +","41","Yield","2007","Hg/Ha","3341.00000","A "
"Europe +","41","Yield","2007","Hg/Ha","5618.00000","A "
"France","41","Yield","2007","Hg/Ha","6707.00000","Fc"
"Germany","41","Yield","2007","Hg/Ha","0.00000","NR"
"Hungary","41","Yield","2007","Hg/Ha","4736.00000","Fc"
"Iran, Islamic Republic of","41","Yield","2007","Hg/Ha","0.00000","Fc"
"Italy","41","Yield","2007","Hg/Ha","0.00000","NR"
"Poland","41","Yield","2007","Hg/Ha","6666.00000","Fc"
"Portugal","41","Yield","2007","Hg/Ha","0.00000","NR"
"Romania","41","Yield","2007","Hg/Ha","1000.00000","Fc"
"Russian Federation","41","Yield","2007","Hg/Ha","2238.00000","Fc"
"South America +","41","Yield","2007","Hg/Ha","10000.00000","A "
"Southern Asia +","41","Yield","2007","Hg/Ha","0.00000","A "
"Southern Europe +","41","Yield","2007","Hg/Ha","26666.00000","A "
"Spain","41","Yield","2007","Hg/Ha","26666.00000","Fc"
"Turkey","41","Yield","2007","Hg/Ha","0.00000","NR"
"Ukraine","41","Yield","2007","Hg/Ha","4615.00000","Fc"
"Western Asia +","41","Yield","2007","Hg/Ha","0.00000","A "
"Western Europe +","41","Yield","2007","Hg/Ha","6707.00000","A "
"World +","41","Yield","2007","Hg/Ha","20908.00000","A "

"fnSeqID","Footnote"
"A ","May include official, semi-official or estimated data"
"Fc","Calculated Data"
"NR","Not reported by country"
