"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Africa +","41","Yield","2007","Hg/Ha","4963.00000","A "
"American Samoa","41","Yield","2007","Hg/Ha","666.00000","Fc"
"Americas +","41","Yield","2007","Hg/Ha","3362.00000","A "
"Angola","41","Yield","2007","Hg/Ha","909.00000","Fc"
"Asia +","41","Yield","2007","Hg/Ha","7879.00000","A "
"Belize","41","Yield","2007","Hg/Ha","7142.00000","Fc"
"Bolivia","41","Yield","2007","Hg/Ha","8593.00000","Fc"
"Brazil","41","Yield","2007","Hg/Ha","3206.00000","Fc"
"Cameroon","41","Yield","2007","Hg/Ha","3983.00000","Fc"
"Caribbean +","41","Yield","2007","Hg/Ha","2771.00000","A "
"Central African Republic","41","Yield","2007","Hg/Ha","500.00000","Fc"
"Central America +","41","Yield","2007","Hg/Ha","5408.00000","A "
"China","41","Yield","2007","Hg/Ha","0.00000","NR"
"Colombia","41","Yield","2007","Hg/Ha","5473.00000","Fc"
"Comoros","41","Yield","2007","Hg/Ha","3292.00000","Fc"
"Congo","41","Yield","2007","Hg/Ha","3030.00000","Fc"
"Congo, Democratic Republic of","41","Yield","2007","Hg/Ha","3021.00000","Fc"
"Costa Rica","41","Yield","2007","Hg/Ha","1056.00000","Fc"
"Côte d'Ivoire","41","Yield","2007","Hg/Ha","5833.00000","Fc"
"Cuba","41","Yield","2007","Hg/Ha","5000.00000","Fc"
"Dominica","41","Yield","2007","Hg/Ha","1022.00000","Fc"
"Dominican Republic","41","Yield","2007","Hg/Ha","2751.00000","Fc"
"Eastern Africa +","41","Yield","2007","Hg/Ha","4630.00000","A "
"Ecuador","41","Yield","2007","Hg/Ha","2408.00000","Fc"
"El Salvador","41","Yield","2007","Hg/Ha","10000.00000","Fc"
"Equatorial Guinea","41","Yield","2007","Hg/Ha","1000.00000","Fc"
"Fiji","41","Yield","2007","Hg/Ha","560.00000","Fc"
"Gabon","41","Yield","2007","Hg/Ha","769.00000","Fc"
"Ghana","41","Yield","2007","Hg/Ha","4241.00000","Fc"
"Grenada","41","Yield","2007","Hg/Ha","6108.00000","Fc"
"Guadeloupe","41","Yield","2007","Hg/Ha","0.00000","Fc"
"Guatemala","41","Yield","2007","Hg/Ha","17111.00000","Fc"
"Guinea","41","Yield","2007","Hg/Ha","7133.00000","Fc"
"Guyana","41","Yield","2007","Hg/Ha","2600.00000","Fc"
"Haiti","41","Yield","2007","Hg/Ha","4639.00000","Fc"
"Honduras","41","Yield","2007","Hg/Ha","2745.00000","Fc"
"India","41","Yield","2007","Hg/Ha","3355.00000","Fc"
"Indonesia","41","Yield","2007","Hg/Ha","8009.00000","Fc"
"Jamaica","41","Yield","2007","Hg/Ha","4000.00000","Fc"
"Liberia","41","Yield","2007","Hg/Ha","1764.00000","Fc"
"Madagascar","41","Yield","2007","Hg/Ha","7500.00000","Fc"
"Malaysia","41","Yield","2007","Hg/Ha","9740.00000","Fc"
"Martinique","41","Yield","2007","Hg/Ha","0.00000","NR"
"Melanesia +","41","Yield","2007","Hg/Ha","3983.00000","A "
"Mexico","41","Yield","2007","Hg/Ha","4908.00000","Fc"
"Micronesia +","41","Yield","2007","Hg/Ha","4375.00000","A "
"Micronesia, Federated States of","41","Yield","2007","Hg/Ha","4375.00000","Fc"
"Middle Africa +","41","Yield","2007","Hg/Ha","3647.00000","A "
"Nicaragua","41","Yield","2007","Hg/Ha","2761.00000","Fc"
"Nigeria","41","Yield","2007","Hg/Ha","4504.00000","Fc"
"Oceania +","41","Yield","2007","Hg/Ha","3953.00000","A "
"Panama","41","Yield","2007","Hg/Ha","1358.00000","Fc"
"Papua New Guinea","41","Yield","2007","Hg/Ha","3941.00000","Fc"
"Peru","41","Yield","2007","Hg/Ha","5245.00000","Fc"
"Philippines","41","Yield","2007","Hg/Ha","5244.00000","Fc"
"Polynesia +","41","Yield","2007","Hg/Ha","2245.00000","A "
"Saint Lucia","41","Yield","2007","Hg/Ha","8000.00000","Fc"
"Saint Vincent and Grenadines","41","Yield","2007","Hg/Ha","2794.00000","Fc"
"Samoa","41","Yield","2007","Hg/Ha","2255.00000","Fc"
"Sao Tome and Principe","41","Yield","2007","Hg/Ha","1590.00000","Fc"
"Sierra Leone","41","Yield","2007","Hg/Ha","3684.00000","Fc"
"Solomon Islands","41","Yield","2007","Hg/Ha","4416.00000","Fc"
"South America +","41","Yield","2007","Hg/Ha","3313.00000","A "
"South-Eastern Asia +","41","Yield","2007","Hg/Ha","8025.00000","A "
"Southern Asia +","41","Yield","2007","Hg/Ha","3554.00000","A "
"Sri Lanka","41","Yield","2007","Hg/Ha","6127.00000","Fc"
"Suriname","41","Yield","2007","Hg/Ha","580.00000","Fc"
"Tanzania, United Republic of","41","Yield","2007","Hg/Ha","7500.00000","Fc"
"Thailand","41","Yield","2007","Hg/Ha","5000.00000","Fc"
"Timor-Leste","41","Yield","2007","Hg/Ha","1000.00000","Fc"
"Togo","41","Yield","2007","Hg/Ha","7500.00000","Fc"
"Tonga","41","Yield","2007","Hg/Ha","0.00000","NR"
"Trinidad and Tobago","41","Yield","2007","Hg/Ha","1038.00000","Fc"
"Uganda","41","Yield","2007","Hg/Ha","3498.00000","Fc"
"Vanuatu","41","Yield","2007","Hg/Ha","4230.00000","Fc"
"Venezuela, Bolivarian Republic of","41","Yield","2007","Hg/Ha","3321.00000","Fc"
"Western Africa +","41","Yield","2007","Hg/Ha","5101.00000","A "
"World +","41","Yield","2007","Hg/Ha","5009.00000","A "

"fnSeqID","Footnote"
"A ","May include official, semi-official or estimated data"
"Fc","Calculated Data"
"NR","Not reported by country"
